bus,schedule,holiday_date
greyhound,05.15 10.00 11.45 16.25 18.55 20.15,normal
greyhound,05.00 07.00 09.25 12.30 14.20 16.15 18.30 20.55,Dec.20
greyhound,05.00 07.00 09.25 12.30 14.20 16.15 18.30 20.55,Dec.21
greyhound,05.00 07.00 09.25 12.30 14.20 16.15 18.30 20.55,Dec.22
greyhound,05.00 07.00 09.25 12.30 14.20 16.15 18.30 20.55,Dec.23
greyhound,05.00 07.00 09.25 12.30 14.20 16.15 18.30 20.55,Dec.24
greyhound,,Dec.25
greyhound,05.15 11.45 18.55,Dec.26
pcc,6.00 09.25 10.40 11.55 13.20 14.55 16.10 17.10 18.30 20.40,normal
pcc,6.00 09.25 10.40 11.55 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Friday
pcc,6.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.19
pcc,5.25 06.00 08.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.20
pcc,5.25 06.00 08.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.21
pcc,5.25 06.00 08.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.22
pcc,5.25 06.00 08.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.23
pcc,5.25 06.00 08.00 09.25 10.40 11.55 13.20 13.20 14.55 16.10 17.10 18.30 19.55 20.40 22.25,Dec.24
pcc,6.00 09.25 10.40 11.55 13.20 14.55 16.10 17.10 18.30 20.40,Dec.25
